code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
2297,2012-02-04T00:00:00Z,2007-02-05T00:00:00Z,e93e3c51-2118-4e56-8f50-b7ac0c1d6802,{516E42A6-BA80-43BA-A35A-F671B15E694D},2240,KGL-ERW Sprl,"Ag, Cr, Nb, Sn, Ta",388452016.255735,79818.07640000433,Radiation en cours,38294,PR (AS)
2298,2012-02-04T00:00:00Z,2007-02-05T00:00:00Z,27429a28-fd03-411e-87a8-0fa11038be51,{8D8988AA-5A25-4217-AF12-32AE5ACA19F7},2241,KGL-ERW Sprl,"Ag, Au, Cr, Sn, Ta",313516845.9514545,74252.10200000554,Radiation en cours,30907,PR (AS)
4834,2013-04-06T00:00:00Z,2008-04-07T00:00:00Z,20828339-5342-4dcd-8478-69ac6b2834c9,{56DFD1EC-DC59-4329-86DE-5D155CB91E1F},2815,KGL-SIHU,Au,30991659.38057159,22268.061599999666,Radiation en cours,3055,PR (PP)
4841,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,469b1f87-6d26-47b2-8fd9-7985aa251e11,{163F4B59-3A78-4FE4-9A59-3CB8B73F011D},2820,Top Fric,Au,30989324.454243317,22267.222600005567,Radiation en cours,3055,PR (AS)
4842,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,bda40ed2-045d-4b2b-ab8f-0266dca7725a,{6AA62396-9200-4D39-8CDD-64D9F7BC498F},2821,Top Fric,Au,30989997.38058012,22267.46440000832,Radiation en cours,3055,PR (AS)
4843,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,5fba3058-9150-4613-9316-aa49f13c59ed,{52DE6C03-692A-47BC-8659-2BBA3656854E},2822,Top Fric,Au,30990812.23926657,22267.75720001012,Radiation en cours,3055,PR (AS)
4844,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,60631907-bb48-492a-bd4c-04b9ae1e2b39,{EBBB46E9-7ECC-426B-90A2-EF54784361B2},2823,Top Fric,Au,30991659.38059233,22268.061600007117,Radiation en cours,3055,PR (AS)
4845,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,5928e5f1-095c-4a7e-b30b-efc8d42ba4f5,{F6E59C48-F97B-489D-9560-AEBAB041F998},2824,AFRIMINES RESOURCES Sprl,Au,30992538.247971255,22268.377400003374,Radiation en cours,3055,PR (AS)
4846,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,02ef3117-cb5c-4cfc-8f42-93280344c546,{BB341B77-3BCA-42A7-A318-146A04D91D00},2825,Top Fric,Au,30989434.660350863,22267.262199997902,Radiation en cours,3055,PR (AS)
4847,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,86ae779a-fca5-4547-b386-a77359364128,{518FA9AC-3EF5-43F3-9EC9-3619719E7019},2826,Top Fric,Au,30990110.926254604,22267.505199998617,Radiation en cours,3055,PR (AS)
4848,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,78902356-9faf-4b25-8d49-115b6e77fd86,{848F9224-6807-40F2-BCDB-0153998ADA82},2827,Top Fric,Au,30990811.682466745,22267.757000006735,Radiation en cours,3055,PR (AS)
4849,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,639f286c-5622-469f-9db3-2c5de181bcf2,{36B5C216-5765-4A18-9145-5203C60A8A88},2828,Top Fric,Au,30990812.23924583,22267.75720000267,Radiation en cours,3055,PR (AS)
4850,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,a5ac8994-6fbb-4183-b1ec-7ed988152cf5,{935C0EFC-0B5C-423D-9223-C535B520EBAB},2829,Top Fric,Au,30990111.483021095,22267.505399994552,Radiation en cours,3055,PR (AS)
4851,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,afd701b7-b6aa-470c-9ebe-bd92a5350aef,{852A83E9-E81E-4F39-A3A5-328246867275},2830,Top Fric,Au,30989435.217105206,22267.262399993837,Radiation en cours,3055,PR (AS)
4852,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,d62bce30-8ab7-444f-83ac-1dc2fe6a15b3,{36917E79-CA35-4F54-B7A9-4FA6D36C3B58},2831,Top Fric,Au,30992537.691140417,22268.3772,Radiation en cours,3055,PR (AS)
4853,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,bb2726ba-083f-4a96-848e-f834a36b6fc9,{952DF044-2F70-4997-AA22-4F85647FC957},2832,Top Fric,Au,5165114.586370236,12991.125400006771,Radiation en cours,509,PR (AS)
4854,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,ed159a40-9f97-4940-bcb0-05cea7f529af,{F8C0540F-5B11-4C99-AB32-C6748120C6EA},2833,Top Fric,Au,15495829.13348112,16702.08680000156,Radiation en cours,1528,PR (AS)
4855,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,55885eef-ccde-4e96-a395-1bfedf202ed4,{CDD6A0A3-CA08-46B5-A8FA-C81AC1BF9C44},2834,Top Fric,Au,6886688.744832324,16700.924400001764,Radiation en cours,679,PR (AS)
4856,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,1737668b-8e7c-4e3c-ba1f-067dd51eedb7,{0B7030F9-199D-49CE-9D70-F24E1708AB41},2835,Top Fric,Au,5164903.54401336,12990.670400001109,Radiation en cours,509,PR (AS)
4857,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,da73516b-efbc-4ce9-bdc8-adffeaa24fa3,{319893C9-EC73-4522-BBFC-894E8851E75A},2836,Top Fric,Au,5165078.799226472,12990.937199994922,Radiation en cours,509,PR (AS)
4858,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,76750272-3fc0-45a8-acfa-e78a934b85f8,{3BFA97C5-D17D-49C5-ADC6-B76D43EFE0D4},2837,Top Fric,Au,5164965.345210861,12990.692599996924,Radiation en cours,509,PR (AS)
4859,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,eceeeaae-1b39-4bfb-812b-d4a52b9503ad,{DD5D9140-992A-49D1-B994-4FDFB49C29CF},2838,Top Fric,Au,9469561.09324294,22267.799800001085,Radiation en cours,934,PR (AS)
4860,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,473958e4-c39f-4aed-8408-cf289e976c9e,{FDDF0BB0-2B08-4286-8326-FAF98333A9F4},2839,Top Fric,Au,30988781.2149349,22267.027399994433,Radiation en cours,3055,PR (AS)
4986,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,22acb3c5-30f6-401e-94a0-d00f9792db41,{6379C131-A084-4624-BFC3-228547041999},2853,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",13774950.452751009,22268.800199992955,Actif-En Force Majeure,1358,PR (AS)
4989,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,5e37c20e-5a25-4b04-9d5c-5379140360dc,{66C6659B-DFAB-4CBA-A466-2EBCB45D8C51},2856,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",15496559.11113975,16700.26739999652,Actif-En Force Majeure,1528,PR (PP)
5023,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,7db5cf23-9b78-426c-b894-6d7c816cbc4e,{54A5E0DD-E3B5-40DB-8910-73655A41A8DD},2890,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",25828172.649052907,20412.68600000441,Actif-En Force Majeure,2546,PR (PP)
5024,2011-10-26T00:00:00Z,2006-10-27T00:00:00Z,785cc3a0-7909-497f-8fd8-2a2b384bec6a,{AF916107-6420-4D8C-8BE2-CD283F74B1C2},2891,GOLDEN VALLEY SERVICES Ltd,"Au, Diamant, Fe",20662102.192118164,18556.382000006735,Actif-En Force Majeure,2037,PR (PP)
7266,2013-07-05T00:00:00Z,2011-07-06T00:00:00Z,cb58ee54-136e-420e-9396-f89d6b7ff5f2,{0ABEE3CE-92D0-487D-84FD-E07FCA5B5D67},3403,BUNIA ENGENEERING,"Au, Diamant, Nb, Ta",97271651.74979721,46387.51619999856,Actif-Transformation PR en PEPM,9589,PR (PP)
8348,2011-08-09T00:00:00Z,2007-08-10T00:00:00Z,a7fc84c1-5186-4c3e-bd65-6fa27d293335,{7B6DBA6A-F1E0-4A04-B5C2-DD8A509CC679},3738,MAADINI MINING,"Au, Diamant, Nb, SnO2, Ta",110176781.55687796,44534.659600004554,Demande PEPM Approuvée,10861,PR (PP)
8350,2011-08-09T00:00:00Z,2007-08-10T00:00:00Z,a9e80f3f-5289-4f3e-af10-dc145c9f5a3a,{E10C7275-9E7A-4A99-823A-FD669920FC00},3740,MAADINI MINING,"Au, Diamant, Nb, SnO2, Ta",85215416.6819922,63090.789200000465,Demande PEPM Approuvée,8401,PR (PP)
8853,2013-05-12T00:00:00Z,2008-05-13T00:00:00Z,dde83979-2bf1-41f4-aa5d-62f8b528d0a9,{352D9E2F-27A4-4492-A1BE-D7428C2299B6},3870,Alex Mutombo Tshibungubungu,Au,80915247.26864241,51952.217600002885,Radiation en cours,7977,PR (AS)
11268,2013-02-16T00:00:00Z,2009-02-17T00:00:00Z,f3f2dd92-e87c-4855-b09a-0d171b4a2a54,{2EDCE075-B396-46F0-8F47-DF38CB441E5D},4148,MANIEMA MUAKA TONY,"Au, Diamant",42193733.04244899,25982.68259999156,Radiation en cours,4160,PR (PP)
ZRG00538,,,6e4d4e65-6a92-48c5-ad0a-bd50cccc319a,{5C01BB25-7293-49DF-A692-F20355BAA42E},5058,Projet Recherches Géologiques,"Au, Diamant, Nb-Ta",292683240.8584605,79787.37579999864,Actif,28853,ZRG
ZRG01174,,,d16cd27a-3af1-4697-b315-6551fa210be3,{3C34247B-3829-44C9-B5BA-0F48722125A5},5645,Projet Recherches Géologiques,"Au, Diamant",371965561.00854206,77948.16040001065,Actif,36669,ZRG
ZRG01541,,,90f47f35-4f82-4c9a-b871-b97d053802e0,{4CF84F8C-07B7-4D24-AB66-DCBE6A1E1BEF},5995,Projet Recherches Géologiques, ,30988359.314100254,22266.87580000609,Actif,3055,ZRG
ZRG01555,,,6caddff0-3951-403b-b0d5-207e71f7217b,{3A41C523-F883-41E0-B1BA-7BB9749DF034},6008,Projet Recherches Géologiques,"Au, Diamant",39604657.64156526,25979.89959999174,Actif,3904,ZRG
ZRG01847,,,11f8d1be-48a5-41f7-bec9-58c0b21fcdf9,{4EDB9DF1-DF8F-4600-B336-78FADF9C3600},6301,Projet Recherches Géologiques,Au,247022514.8476237,68652.17499998957,Actif,24352,ZRG
ZRG01849,,,39953244-5e86-494d-bd7d-2fd446e5e0ca,{5175C9DA-C313-4B20-8B40-9B0D3D045436},6303,Projet Recherches Géologiques,Au,343589818.4147035,77948.22239999473,Actif,33872,ZRG
ZRG01985,,,4f9f4576-f696-4acd-bfdb-bc0e2eaeb6e7,{C49C6057-5215-4057-B834-0237EEA56241},6432,Projet Recherches Géologiques, ,120506366.49693711,85355.65540000051,Actif,11880,ZRG
ZRG01986,,,d2d927ed-4f4b-41eb-8e54-ac607b25c7c7,{CF6BEC2B-CB0B-446F-8F66-C95B0C242AEC},6433,Projet Recherches Géologiques, ,120506366.49693711,85355.65540000051,Actif,11880,ZRG
ZRG02093,,,a8aab4a7-0a06-4a7a-ba9b-c36759a8e2d1,{E521D04E-C65F-4F37-96E8-479859A705F2},6547,Projet Recherches Géologiques, ,189463828.12375674,57530.29060000181,Actif,18678,ZRG
ZRG02415,,,7c28daf6-5109-4eca-a906-ea8456b4d413,{14EFE8DE-8242-4393-89F2-6420F9EE2E0F},6870,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",301247162.5824283,107617.522,Actif,29697,ZRG
ZRG02418,,,65b7fe73-90b9-4e70-b534-4e495e2dd2eb,{6EA86F75-DA9A-4214-9226-97F2B820F4F6},6873,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",328810863.5054879,79789.28580000252,Actif,32415,ZRG
ZRG02424,,,3d159316-2ed0-45b5-be73-1aff79e870c7,{EA52999D-44D1-4E9C-BD17-804EC0AA88B1},6879,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",117055582.98166555,76074.79659999907,Actif,11539,ZRG
ZRG02425,,,6ab103ed-6879-4c73-b323-5ba4f1fa9da3,{A806ED14-3578-4623-8236-7F081B08E385},6880,Projet Recherches Géologiques,"Ag, Au, Diamant, Nb, Ta",225650059.12578785,124353.21720000356,Actif,22245,ZRG
ZRG02508,,,91560a9f-e95e-4c61-af99-a9230b294ad9,{79D2B367-FAF8-403F-B278-71EAB46B28B1},6962,Projet Recherches Géologiques,"Au, Diamant",252220180.01707113,70514.30099999905,Actif,24864,ZRG
ZRG02516,,,f3e55d29-2bf3-4cc8-b480-3e7bcb47a936,{D0BAEC42-06EA-47EB-8C9D-3A0BF7043105},6970,Projet Recherches Géologiques,Al,14632757.731224671,16700.434200003743,Actif,1443,ZRG
ZRG02517,,,5b032a8c-b9d6-4ba5-80c2-1615b39156e0,{60619ACA-233F-42D1-9EB9-C84EF495CBFF},6971,Projet Recherches Géologiques,Au,30985783.93768855,22265.9504000023,Actif,3055,ZRG
ZRG02518,,,c190ba10-b78c-4300-bd40-d38eedbbf937,{F811E696-8EB1-484C-A468-3CD8E147EAEF},6972,Projet Recherches Géologiques,Al,15492741.965832315,16698.89580000192,Actif,1527,ZRG
ZRG02523,,,5323615e-5dab-48ee-a0e9-ee3574cd6249,{1C0E99FD-464D-4009-9EF8-C665B7D18E63},6975,Projet Recherches Géologiques,Au,30984871.67453843,22265.622599996626,Actif,3055,ZRG
ZRG02579,,,cdf30356-c091-4f18-a54c-a65d2705030b,{E959BE51-42B7-4926-BB2B-A3278A6B2118},7030,Projet Recherches Géologiques,Al,30986496.939003054,22266.206599995494,Actif,3055,ZRG
ZRG02580,,,dbf9ad11-6768-4ff9-9578-c923f6ab9eec,{CB2B401D-00B6-4B10-942B-E5C710FF1A33},7031,Projet Recherches Géologiques,Au,13772148.2571019,16700.53859999776,Actif,1358,ZRG
ZRG02587,,,f33a1d15-b2f2-4649-acf4-a850dcf2c433,{73E3E04E-D2C7-40F5-A370-9769BD526FE7},7038,Projet Recherches Géologiques,Al,29266871.0578094,22266.91319999844,Actif,2885,ZRG
ZRG02588,,,41f447f4-dd65-481b-a1b6-361931b8ab60,{F06BFAE9-BF92-41D0-99AD-67FC6022AB7D},7039,Projet Recherches Géologiques,Al,30984871.117845338,22265.62239999324,Actif,3055,ZRG
ZRG02637,,,9cceaeac-956a-44d9-b61c-6e87d9b42c90,{B9B4C336-EDC6-40CF-B832-C72990320E23},7087,Projet Recherches Géologiques,Au,30986681.729353573,22266.272999994457,Actif,3055,ZRG
ZRG02651,,,7895a092-d492-4a0e-8a11-0b6d525c725b,{6AC37E8A-5059-4117-AF26-964EAEC1EA87},7101,Projet Recherches Géologiques,Al,30988359.87083528,22266.876000002027,Actif,3055,ZRG
ZRG02652,,,98aea301-dc56-424e-8100-f2475061d0e5,{1647B098-3236-4A28-986D-37EDDC9E9F90},7102,Projet Recherches Géologiques,Al,30986589.890933383,22266.24000001,Actif,3055,ZRG
ZRG02653,,,c8706a3b-cf0a-4869-8a46-9341b53322c2,{14843190-C471-4B2C-9361-F72F11341411},7103,Projet Recherches Géologiques,Al,30985784.494377308,22265.950599998236,Actif,3055,ZRG
ZRG02656,,,67309ace-a6fa-4628-9045-4a01e9652518,{0E318194-C484-4D9F-83AB-199817A959CA},7106,Projet Recherches Géologiques,Al,30985276.320899084,22265.767999999225,Actif,3055,ZRG
ZRG02679,,,944e5b00-fc83-4461-9dd5-1684b529ec0f,{634C6322-64D2-46F6-962A-D3AC734EAEA5},7129,Projet Recherches Géologiques,Diamant,84399311.35472758,66806.11739999801,Actif,8320,ZRG
ZRG02680,,,7333aa5b-202b-4dd5-8a52-38a725315a1d,{FB9A2C09-E05B-4DDF-AFC0-9E7C5CA9D611},7130,Projet Recherches Géologiques,"Au, Diamant",261811638.54194215,74232.90579999983,Actif,25810,ZRG
ZRG02682,,,bd882806-9ad5-4557-8c55-a7ba2e09da20,{F6AB7772-9BEC-416F-8BBD-18E4C871F433},7132,Projet Recherches Géologiques,"Au, Diamant",129179698.38662389,46398.31920000166,Actif,12735,ZRG
ZRG02832,,,4ac46468-1acc-407a-a4f9-7e9c2acded09,{5C1E0950-94EE-4536-8FF5-B0ECC6A856CE},7308,Projet Recherches Géologiques,"Ag, Au, Cr, Nb, Sn, Ta",388452275.47814864,79818.09880000353,Actif,38294,ZRG
2813,,,69d2b965-5d87-4181-8a28-bc6f438ccdb0,{BAEE913F-2DF7-48D6-B0C1-93794444C1D0},594,MASTERS,"Au, Diamant",344304808.8784042,74221.80960000306,Demande Approuvée,33942,PR (PP)
3364,,,cab33936-3c76-4f01-8442-136d70b0331a,{B86053EE-8FE3-4B49-892A-3177BCA17CD0},602,GOLDBELTS EXPLORATION AND MINING Sprl,"Au, Cu, Sn",216036702.77753386,79785.17899999022,Demande Approuvée,21297,PR (AS)
3370,,,6741199a-74f4-44a8-a28f-0c5818b03b2a,{46BA9768-19D6-4D5A-84F0-4E92432751CD},603,GOLDBELTS EXPLORATION AND MINING Sprl,"Au, Cu, Diamant",186773072.23091787,87206.80719999224,Demande Approuvée,18412,PR (PP)
3371,,,2b8c14d8-aa64-444f-af53-e935448c3e90,{76622D23-86C7-4400-A020-F0F9796FB637},604,GOLDBELTS EXPLORATION AND MINING Sprl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, W",184199126.62559685,150299.1311999932,Demande Approuvée,18159,PR (PP)
4375,,,6e7e4ab5-a082-4b75-b19d-0af8c05da730,{986434A3-5B1A-41BE-98A2-7E51047F2895},619,Edouard Kambale,"Au, Nb, Sn, Ta, Wolfram",46482194.89854005,31542.942199997604,Demande Approuvée,4582,PR (AS)
4839,,,ab5437d2-bf50-4951-b4c0-54969d46366e,{D41B5F70-29F2-4249-AF91-1B56C6F6DF7F},629,MASTERS,Au,31009785.533453744,22274.574799999595,Demande Approuvée,3057,PR (PP)
4840,,,8d013840-6747-479e-b470-0c98df1bb995,{FB71C7F1-A5DB-4E73-AD50-E641AE63298B},630,MASTERS,Au,31009785.533474497,22274.574800007045,Demande Approuvée,3057,PR (PP)
7464,,,50b5e815-ad5d-420c-a686-2f36af7413e5,{6E6E6464-AFF8-43D6-A44F-21F3908202A0},682,World Mining Company,"Ag, Au, Nb, Pt, Sn, Ta, W",77455089.9907397,44528.49480000138,Demande Approuvée,7636,PR (PP)
8700,,,70a84463-b666-437f-80be-ed1804c1bc41,{F45F9A02-C648-4D86-912F-F1E8717274AC},729,KASHAMA DRC SPRL,"Au, Diamant, Nb-Ta",10328364.774484685,14844.388199992478,Demande Approuvée,1018,PR (PP)
9424,,,f86a2302-547c-43d3-97f6-560bfdcc004d,{91109530-F1BC-425C-90D3-59BB2C9BD6CD},770,KEL- EX DEVELOPMENTS SPRL,"Ag, Au, Diamant, Nb-Ta",122237145.416145,51960.469199992716,Demande Approuvée,12050,PR (PP)
9625,,,89be37d3-bab8-46a6-99a4-ff9b48d7ad42,{0B9A3456-F191-4195-90B2-527E45C3D44C},795,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,20656907.47687793,27833.959200002253,Demande Approuvée,2036,PR (PP)
9626,,,84a690f5-6d52-4761-9326-371e503b1df1,{24A54EA0-E3E9-4D29-88A4-23ED18320037},796,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,3442999.337149218,9278.237399995327,Demande Approuvée,339,PR (PP)
9627,,,d65b98f3-05d7-41d3-ae5e-0b0fdc6a9fd3,{6E07374B-2E89-4D80-A8EE-EB621EF856B7},797,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,36150453.52551379,29687.401000001,Demande Approuvée,3564,PR (PP)
9633,,,15514272-8201-4a5c-8dd6-2e18a48e563d,{5E5B29F5-595F-4315-8877-8A50EB4D6952},802,SOCIETE D'INVESTISSEMENT DU HAUT UELE,Au,860778.3111319253,3711.125600002706,Demande Approuvée,85,PR (PP)
9659,,,e5dffb55-a977-4d03-a711-84858e75d1b4,{FFBF3731-4D4F-4D6C-A497-AB606B1A97B3},804,SHAMIKA CONGO KALEHE,"Fe, Nb-Ta, Sn, SnO2, Wolfram",8606444.876197165,12988.199599988759,Demande Approuvée,848,PR (PP)
11793,,,a28d095e-5013-4a70-bdd0-a4878d0fe0ad,{5FE96652-8FEA-4E15-83B5-5E6AA14BC528},889,SOCIETE MINIERE DE KILO MOTO,"Au, Diamant, Fe, Ta",144764247.990251,50128.047199994326,Demande Approuvée,14271,PR (PP)
11804,,,283e36da-820a-481b-8aba-63e3f68aa563,{A3A2D6D2-9D5E-492B-A14E-02A2FD914ECF},890,SOCIETE MINIERE DE KILO MOTO,"Au, Diamant, Fe, Ta",220533581.16604885,66814.93519999832,Demande Approuvée,21741,PR (PP)
12596,,,2feadeba-5dfe-4394-acf5-2a55dad07f4e,{27057882-FE3B-49B6-BE2A-ABD881AE3E1C},974,CONCORDE POUR L'INDUSTRIE ET L'EXPLOITATION Sprl,"Au, Nb-Ta",32713423.438890517,25977.330600000918,Demande Approuvée,3225,PR (AS)
12597,,,2bd2cf55-0aa8-4a49-b719-6ae6a4bfd89f,{72DAB730-347A-415C-9F39-DC8C0C12349B},975,CONCORDE POUR L'INDUSTRIE ET L'EXPLOITATION Sprl,"Au, Nb-Ta",1721510.70320256,5566.834600001574,Demande Approuvée,170,PR (AS)
12808,,,f4611e63-6ddd-4e28-840f-83fad4fdec20,{6FADEE6E-AB97-4AD7-B500-50966536851B},1003,FAMETAL MINING ET RESSOURCES DRC SPRL,"Au, Diamant",21516094.098567873,18554.17760000378,Demande Approuvée,2121,PR (PP)
12809,,,74a85955-1cd8-4df7-aced-5203797b7590,{A3580DA3-363E-4031-9D67-2E19EB00FA6C},1004,FAMETAL MINING ET RESSOURCES DRC SPRL,"Au, Diamant",30982554.55931935,22264.789999999106,Demande Approuvée,3054,PR (PP)
12969,,,dcb1ae8b-1da9-43db-9a65-79380a1e5230,{C09F94BD-EECF-4FBC-B06B-E626BD5A67F1},1062,DEVON RESOURCES,"Au, Diamant",26690217.98607826,27838.949399992824,Nouvelle Demande,2631,PR (PP)
